,oferta,demanda,equi
2022-06-01,-0.9159281743695213,-0.5863970550062634,0.6402216586577976
2022-07-01,-0.7143513107022735,-0.47920813424404923,0.6708297822998928
2022-08-01,-0.7798166365326702,-0.5091709231126575,0.6529367280193001
2022-09-01,-0.9154686891689455,-0.5782217556427915,0.6316128148169614
2022-10-01,-0.9154686891689455,-0.5832940216712229,0.637153436892235
2022-11-01,-0.5848690873546114,-0.4989750581632982,0.8531397349451042
2022-12-01,0.21072953744249717,-0.30223080997814034,1.4342118985603125
2023-01-01,1.2255026029142928,0.2260606153124881,0.18446359458960526
2023-02-01,1.2124072746978807,0.36897916987829127,0.30433599136085443
2023-03-01,1.562994482737265,3.221860279140052,2.061338229100862
2023-04-01,1.6643109694642428,0.46994710070306744,0.28236736362697157
2023-05-01,-0.17569751624180446,-0.17082928298277564,0.9722919631241178
2023-06-01,0.08987362696858836,1.0062729562236115,11.196532177068061
2023-07-01,-0.13459173796151502,0.699499420729252,5.197194354747584
